time,Load,avg_p,avg_s1,max_d
7.3599999999999e-06,-20681.622719335,-164.45997828623,2.409560500533,0
7.3799999999999e-06,-21318.157671249,-169.52136999385,-0.805282728021,0
7.3999999999999e-06,-21600.78222187,-171.76846748338,-2.0719080882753,0
7.4199999999999e-06,-21458.792709609,-170.63905927688,-1.0011169531552,0
7.4399999999999e-06,-20919.558268531,-166.3508028847,2.2563789015248,0
7.4599999999999e-06,-20101.942931827,-159.84891028098,7.0461809273277,0
7.4799999999999e-06,-19188.6535553,-152.58625590315,12.362441372489,0
7.4999999999999e-06,-18383.949490118,-146.18708620743,17.080682203476,0
7.5199999999999e-06,-17866.505304284,-142.07219008047,20.217292331361,0
7.5399999999999e-06,-17748.303457845,-141.13202145202,21.155824578943,0
7.5599999999999e-06,-18049.009911592,-143.52294245868,19.788053321121,0
7.5799999999999e-06,-18691.691281693,-148.63317325885,16.53754189394,0
7.5999999999999e-06,-19520.801980615,-155.22582977049,12.260610978676,0
7.6199999999999e-06,-20338.23995805,-161.72563818398,8.0478400933537,0
7.6399999999999e-06,-20949.118376499,-166.58290483612,4.9720872295821,0
7.6599999999999e-06,-21206.680393815,-168.63066703357,3.8412323033267,0
7.6799999999999e-06,-21046.004497705,-167.35270419921,5.0126351482047,0
7.6999999999999e-06,-20498.755964521,-163.0008299627,8.3119388391076,0
7.7199999999999e-06,-19685.631060008,-156.53480309927,13.074675367536,0
7.7399999999999e-06,-18788.296003367,-149.39918895704,18.300750520715,0
7.7599999999999e-06,-18007.347759605,-143.18907381395,22.885874626153,0
7.7799999999999e-06,-17516.027300465,-139.28200729226,25.876371357385,0
7.7999999999999e-06,-17420.364603129,-138.52109064709,26.688575421183,0
7.8199999999999e-06,-17734.919827851,-141.02208318008,25.242369656662,0
7.8399999999999e-06,-18379.666292314,-146.14862295361,21.978334401085,0
7.8599999999999e-06,-19198.677768948,-152.66082843296,17.754864255593,0
7.8799999999999e-06,-19996.26032912,-159.00261125477,13.649255687748,0
7.8999999999999e-06,-20582.160988642,-163.66116042806,10.708832324514,0
7.9199999999999e-06,-20815.411630113,-165.51556969656,9.7095893045828,0
7.9399999999999e-06,-20636.702942769,-164.09425581699,10.97798468248,0
7.9599999999999e-06,-20081.850232824,-159.68202520292,14.316821668439,0
7.9799999999999e-06,-19273.292429588,-153.25247074629,19.052056082459,0
7.9999999999999e-06,-18391.6416868,-146.24174259497,24.18942062172,0
8.0199999999999e-06,-17633.897498203,-140.21628467232,28.644455428929,0
8.0399999999999e-06,-17167.995008448,-136.51142554631,31.492714021591,0
8.0599999999999e-06,-17094.172849506,-135.92419741928,32.182424373874,0
8.0799999999999e-06,-17422.043207953,-138.5310136003,30.660707749878,0
8.0999999999999e-06,-18068.605081581,-143.67187711156,27.384505935051,0
