time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y,preset_ext_power,preset_ext_work_p
14.25,0.0030693106349213,0.00012764779380171,-9.4822778419687e-06,0.0029416628411196,8.8543022396095e-06,-6.2797560235922e-07,0.30779041770338,4.9557003397728e-05,0.01095654086213,0,100.06810912875,0.0040381628074052,0.19910707823151,9.5298486511442e-05,0.3132723984157,0.098674779369397,0.0032559273929352,0.0024272868442613,0.037753745050349,0.36719293282771
14.5,0.0030834506630879,0.00012001231352897,-9.5466392447742e-06,0.0029634383495589,8.9995257833229e-06,-5.4711346145131e-07,0.31336256545217,4.1372233338971e-05,0.011751439935943,0,100.04221933391,0.0041382136857662,0.2059530641979,0.00010965658803542,0.31860903474502,0.096406452019944,0.0032482279492556,0.0025094466265926,0.036608551880837,0.3764882199441
14.75,0.0030869222447172,0.0001012193524006,-9.3931462339538e-06,0.0029857028923166,8.8563242215058e-06,-5.3682201244808e-07,0.31866657967685,3.202673837431e-05,0.012570330650368,0,99.947999629267,0.0042287399263042,0.21273498940677,0.00012569138580036,0.32394434745742,0.094198574645071,0.0032257287785223,0.0025897481593193,0.037085868563642,0.38570002249966
15,0.0031047953165972,9.8856296206829e-05,-8.7394416455869e-06,0.0030059390203904,8.0249485060783e-06,-7.1449313950851e-07,0.32389806018871,1.9983999130087e-05,0.013412635054924,0,99.864765109868,0.0043379480189413,0.21945145991132,0.00014388429155897,0.32928828714318,0.092020780550128,0.0031691672901009,0.0026705222369682,0.038255994050163,0.39511775532639
15.25,0.0031404612899313,0.00011196871404799,-7.613807832364e-06,0.0030284925758833,6.59160525138e-06,-1.022202580984e-06,0.32929414605644,1.1082048034362e-06,0.014273292400879,0,99.85492132089,0.0044664819006814,0.22612167847901,0.00016590501898026,0.3346469076442,0.089894092529368,0.0030504101160673,0.0027527633848631,0.038733381965504,0.40474142732835
15.5,0.0031666814604219,0.00011536869998667,-6.3153771062307e-06,0.0030513127604352,4.9763386191202e-06,-1.3390384871106e-06,0.3348516034346,-3.2582613374351e-05,0.015138427525443,0,99.889548864903,0.0045901303284596,0.23272910961645,0.00019613607333137,0.34001877942946,0.087841656038197,0.0028361595103293,0.0028359392961746,0.038313724012684,0.41437231557562
15.75,0.0031670826157199,9.5275561163108e-05,-5.218205603762e-06,0.0030718070545568,3.7030551277927e-06,-1.5151504759694e-06,0.34039278681107,-9.1805819340074e-05,0.015991365311983,0,99.892164659763,0.0046943099231097,0.23927801033491,0.00024310789338517,0.34540064603059,0.085865214409767,0.0024994625948975,0.0029192415539124,0.037844595417425,0.42389210550438
16,0.0031580151821379,6.727518979268e-05,-4.4278602925433e-06,0.0030907399923452,3.1954012727835e-06,-1.2324590197598e-06,0.34583105463833,-0.0001825312610199,0.016812711321519,0,99.836945068586,0.004794085975503,0.24578043621595,0.00031831333614424,0.35079446832044,0.083972114669692,0.0020385874463516,0.0030024684560592,0.037906582939251,0.43336100279897
16.25,0.0031622241888971,5.5356810845509e-05,-3.7192495220003e-06,0.0031068673780515,3.4519532729147e-06,-2.6729624908561e-07,0.35124255461386,-0.00029228628594827,0.017578751569068,0,99.768292041173,0.0049166592855922,0.25225758791671,0.00042833640737747,0.35620723008585,0.082162289108263,0.0014954091407333,0.0030857716644593,0.038239236503748,0.44287923022934
16.5,0.0031807756169159,6.4722322950118e-05,-2.3756683402299e-06,0.0031160532939658,2.6435209607825e-06,2.6785262055264e-07,0.35672496807218,-0.0003812576140352,0.0182649435556,0,99.731943599721,0.0050757275578753,0.25874596673213,0.00056007310378282,0.36164531704592,0.080427471592311,0.00095827776932398,0.0031690879371191,0.038371787266819,0.45245560820066
16.75,0.003204683885001,8.2512280305871e-05,1.2105530374219e-06,0.0031221716046952,-2.1568042895924e-06,-9.462512521705e-07,0.36227639075571,-0.00039899957070793,0.018850274624328,0,99.722889894372,0.0052700997938511,0.26527975278598,0.00067132947708596,0.36711131915742,0.078761854498655,0.00053478845811545,0.0032521310696362,0.038281845592378,0.46203731230806
