time,DJint,DJint_over_Jint,Jint,dt,tip,tip_adv,tip_cum,tip_vel
38,-0.011218121102345,-0.64092445929066,0.017503031659551,0.2,87.215732351511,0.38748113193933,37.60321348345,1.9374056596966
38.2,-0.011237881110266,-0.63313975067735,0.017749448045623,0.2,87.60321348345,0.38798535683639,37.991198840286,1.939926784182
38.4,-0.011376703843993,-0.63371602100753,0.017952368989986,0.2,87.991198840286,0.38839018720981,38.379589027496,1.9419509360491
38.6,-0.011597382329593,-0.63821259204575,0.018171660155464,0.2,88.379589027496,0.38881751151612,38.768406539012,1.9440875575806
38.8,-0.011821794707543,-0.64130689237358,0.01843391182619,0.2,88.768406539012,0.38931520159614,39.157721740608,1.9465760079807
39,-0.011937071903284,-0.63697821693122,0.018740157176478,0.2,89.157721740608,0.38987875048963,39.547600491098,1.9493937524481
39.2,-0.011839339139339,-0.62051978039625,0.019079712707593,0.2,89.547600491098,0.39048244688378,39.938082937982,1.9524122344189
39.4,-0.011510421477268,-0.59262100844363,0.019422904880637,0.2,89.938082937982,0.39107116065235,40.329154098634,1.9553558032618
39.6,-0.011048991584471,-0.5601231171874,0.019726005311032,0.2,90.329154098634,0.39157406577193,40.720728164406,1.9578703288596
39.8,-0.01060492185104,-0.53102441143887,0.019970686135323,0.2,90.720728164406,0.39196890531048,41.112697069717,1.9598445265524
40,-0.010278086498689,-0.50907183621781,0.020189854883844,0.2,91.112697069717,0.39231445083853,41.505011520555,1.9615722541927
40.2,-0.010078866216151,-0.49325924370514,0.020433202914643,0.2,91.505011520555,0.39268943335884,41.897700953914,1.9634471667942
40.4,-0.0099550594241909,-0.48058349009797,0.020714526464822,0.2,91.897700953914,0.393111953547,42.290812907461,1.965559767735
40.6,-0.0098265053913251,-0.46770571075303,0.02101001797798,0.2,92.290812907461,0.39354356842927,42.68435647589,1.9677178421463
40.8,-0.00960796798074,-0.45114193044579,0.021296996205265,0.2,92.68435647589,0.39395128372418,43.078307759614,1.9697564186209
41,-0.0092488183403153,-0.42888908119004,0.021564592678957,0.2,93.078307759614,0.39432168596548,43.47262944558,1.9716084298274
41.2,-0.0087850768004681,-0.40324297860802,0.021786062663246,0.2,93.47262944558,0.39462135902354,43.867250804603,1.9731067951177
41.4,-0.0083224738442976,-0.37957262574613,0.021925906347798,0.2,93.867250804603,0.39480746460046,44.262058269204,1.9740373230023
41.6,-0.0079502571318109,-0.36149571695518,0.021992673104884,0.2,94.262058269204,0.39489548382573,44.65695375303,1.9744774191286
41.8,-0.0077021921271356,-0.34943235378913,0.022042011976326,0.2,94.65695375303,0.3949601850936,45.051913938123,1.974800925468
42,-0.0075562427477347,-0.34139097547246,0.022133692131953,0.2,95.051913938123,0.3950796452491,45.446993583372,1.9753982262455
42.2,-0.0074720096510506,-0.33518406290318,0.022292258129256,0.2,95.446993583372,0.39528393894625,45.842277522319,1.9764196947312
42.4,-0.0074418754431962,-0.33032268551505,0.02252910795876,0.2,95.842277522319,0.39558373633774,46.237861258656,1.9779186816887
42.6,-0.0073577904546433,-0.32137007057451,0.022895070600351,0.2,96.237861258656,0.39603476444094,46.633896023097,1.9801738222047
42.8,-0.0070475074048019,-0.30056104829091,0.023447840113935,0.2,96.633896023097,0.39668932839307,47.03058535149,1.9834466419653
43,-0.0064924787792545,-0.26835117174932,0.024193964710239,0.2,97.03058535149,0.39752542084501,47.428110772335,1.9876271042251
43.2,-0.0057813748245886,-0.23079872904794,0.025049422275578,0.2,97.428110772335,0.39842273919125,47.826533511527,1.9921136959563
43.4,-0.0049413433260351,-0.19002132992722,0.026004150838896,0.2,97.826533511527,0.39935447408028,48.225887985607,1.9967723704014
43.6,-0.0040449988774639,-0.14993557408376,0.026978246504757,0.2,98.225887985607,0.40023714343499,48.626125129042,2.001185717175
43.8,-0.0032253577445204,-0.11570091933734,0.027876682078182,0.2,98.626125129042,0.40099656857761,49.027121697619,2.0049828428881
44,-0.0026428799526072,-0.092593223060482,0.02854290913797,0.2,99.027121697619,0.40152884322851,49.428650540848,2.0076442161426
44.2,-0.0023280587114972,-0.080545053618721,0.028903807333937,0.2,99.428650540848,0.40180693251334,49.830457473361,2.0090346625667
44.4,-0.0022106453447934,-0.076280959398504,0.028980303370918,0.2,99.830457473361,0.40186498673248,50.232322460094,2.0093249336624
44.6,-0.0022109507275271,-0.076630234762703,0.028852198278834,0.2,100.23232246009,0.40176759156916,50.634090051663,2.0088379578458
44.8,-0.0026283050709276,-0.093827972834581,0.028011956259156,0.2,100.63409005166,0.40110669289367,51.035196744557,2.0055334644684
45,-0.0021974019931493,-0.080303466030425,0.027363725400306,0.2,101.03519674456,0.40056908718549,51.435765831742,2.0028454359275
45.2,-0.002359340063077,-0.087573522174856,0.026941248958403,0.2,101.43576583174,0.40020478449311,51.835970616235,2.0010239224656
45.4,-0.0023282365666346,-0.08595335847078,0.027087208784588,0.2,101.83597061624,0.40033193092875,52.236302547164,2.0016596546437
45.6,-0.00193724132041,-0.070416361642889,0.027511238513495,0.2,102.23630254716,0.40069365277732,52.636996199941,2.0034682638866
