time,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y,preset_ext_power,preset_ext_work_p
57.25,3.7146526970975,-0.010687630623216,0.24049112470505,0.057050382331546,96.552173911038,0.080391161369139,3.4724697024834,0.021415552923043,3.7879992355855,0.074510539615264,0.0029733071008505,0.04091325062033,0.15792316090514,4.0326395614937
57.5,3.7531489958825,-0.01084871860259,0.2425752130576,0.05712699836371,97.668223585304,0.082308406066599,3.51014867448,0.021467689360817,3.827438184722,0.074208338147526,0.003039574921563,0.041247825408128,0.15899482482721,4.0722543097103
57.75,3.7926486547129,-0.010967444204711,0.24464135721332,0.057202704433911,98.830966732897,0.084176845569203,3.5481559601587,0.021531458575968,3.8670700757501,0.0738344995007,0.0030895467345864,0.041587556669489,0.15948820584212,4.1120646885439
58,3.8328258572121,-0.010975819983927,0.24669390885696,0.057276578279569,99.645975027862,0.085639765196851,3.5864495023757,0.021601948337906,3.9067709027803,0.073219735221354,0.0031554951652746,0.041930825611325,0.15958491504402,4.1519488286547
58.25,3.8732307855482,-0.010965817618553,0.24874438939967,0.057350456209989,99.896596626003,0.08653751318244,3.6251364369449,0.021800603712313,3.9464663898117,0.072207505745799,0.0032024287409384,0.042276114703085,0.15955491529297,4.1918413074468
58.5,3.9134621276184,-0.011045209197611,0.25079782882933,0.05742616332294,99.597999829028,0.086928973030088,3.6642092555304,0.02210045623403,3.9861494155438,0.070847049746583,0.0032539609063637,0.042622406479665,0.15965997197942,4.2317431683559
58.75,3.9532948575926,-0.011207335789137,0.25284034115978,0.057502532624397,98.924892016348,0.087003283449357,3.7035748131202,0.022403210467415,4.0258724165741,0.069270431734595,0.0033006972191295,0.04296924780467,0.16002881731547,4.2717042670177
59,3.9927437704798,-0.011375378663967,0.25486285935668,0.057577361614655,98.149229695274,0.087045946432729,3.7432089941187,0.022717388907785,4.0657233247734,0.06765864016656,0.0033570383906945,0.043316490613832,0.16073226046141,4.3117994017399
59.25,4.0320580251478,-0.011497466285133,0.25685397695104,0.057652032607922,97.613756748083,0.087415275047252,3.7830223017322,0.023014579550891,4.1057900370732,0.06609866785388,0.0034157946465236,0.043663892178929,0.1617028390534,4.3521037891792
59.5,4.0716157912713,-0.011575893224191,0.25880180693889,0.057726582269966,97.601708531848,0.088355650789745,3.8229974133548,0.023368651141164,4.1461202011089,0.064700544775801,0.0034548987858576,0.044010840379324,0.16273068574428,4.3926579797789
