time,DJ,DJ1,DJ2,EW,FE,Fy_top,J,KE,PEW,SE,max_disp_y,preset_ext_power,preset_ext_work_p
40.25,0.011598767662736,0.028041394606084,-0.016442626943349,0.0016774433632026,0.3673239839033,113.56980026725,0.022204056698828,0.31282517315085,0.49519499148833,0.29237349910264,0.0035188664753643,0,0
40.5,0.017301026618308,0.032770209878095,-0.015469183259787,0.0016432241887214,0.36747744050852,124.36015191131,0.02677793288045,0.29796096134597,0.49519492696701,0.30789528800701,0.0035087616549569,0,0
40.75,0.0330880640456,0.045745070540956,-0.012657006495356,0.0016162809806742,0.36768753922434,140.04209828542,0.041524419635126,0.27940842411846,0.49519491061277,0.32721347864689,0.0034626300998188,0,0
41,0.033953245207708,0.04512407120805,-0.011170826000341,0.0016262780859628,0.3679122686682,153.75767016183,0.041430860922564,0.25780167193605,0.49519500197429,0.34842725836662,0.0034279176289061,0,0
41.25,0.037075980190096,0.048457113253017,-0.011381133062921,0.0016713881716608,0.3680945048596,160.30260344461,0.045196860113201,0.23589758403106,0.49519521821336,0.36900200079657,0.0033767013784739,0,0
41.5,0.037823036283828,0.048929447609565,-0.011106411325737,0.0017511913711488,0.36825483339652,158.22167666787,0.046571046582166,0.21478645426476,0.49519552400068,0.38880554303519,0.0033367996890808,0,0
41.75,0.041322668449973,0.051982960028513,-0.01066029157854,0.0018677154205155,0.3684558465434,150.23039056857,0.04959050813027,0.1950121858994,0.49519585562086,0.40697105471859,0.0033232992572299,0,0
42,0.045797756077971,0.055127092240599,-0.0093293361626277,0.0020018094495131,0.36868514479036,141.60645524976,0.052563012903056,0.17754701100532,0.49519615870459,0.42210491345208,0.0033236301156645,0,0
42.25,0.048129624152588,0.055462202199937,-0.0073325780473488,0.0021440017797824,0.36889527136734,137.3479606926,0.051841736235543,0.1644182296238,0.49519640724425,0.43171175621574,0.003343179470672,0,0
42.5,0.050046076239724,0.056628397836067,-0.0065823215963435,0.0022969633428893,0.3690527414738,139.64408795068,0.051522228309064,0.15760512438585,0.49519659269591,0.43453184169312,0.0034217835119819,0,0
42.75,0.058143018850052,0.067595152665405,-0.0094521338153535,0.0024119728674813,0.3691546198763,147.03142794512,0.061920238309248,0.15786869213432,0.49519670413873,0.43035944179664,0.0034696919202039,0,0
43,0.06436945126456,0.074072801741502,-0.0097033504769425,0.0024211154316756,0.36924035578683,155.60471884431,0.068490965131601,0.16472894549513,0.4951967267554,0.42014267170963,0.0034476765947225,0,0
43.25,0.066203825524561,0.074519236809941,-0.0083154112853803,0.0023557803175025,0.36930933374624,161.44066483651,0.068375962879768,0.17657483869375,0.49519666042206,0.40601520122829,0.003363830347455,0,0
43.5,0.069133818543591,0.079089010106867,-0.0099551915632759,0.0022949873769781,0.36936450367647,162.75888386161,0.072132872423638,0.19019564909819,0.49519653523647,0.39241604398161,0.0032551686256571,0,0
43.75,0.070610613389986,0.082457743183205,-0.011847129793219,0.0022214125341023,0.36941964723806,160.64117273488,0.074979783473183,0.20146380248748,0.49519640444828,0.38263408713935,0.0031393864118871,0,0
44,0.071146450298682,0.0845692174228,-0.013422767124119,0.0020599814838782,0.36946005460282,158.05320025533,0.077291555018378,0.20919267597177,0.49519631864983,0.37595808587436,0.0030530297752024,0,0
44.25,0.072483409299913,0.084157135122044,-0.01167372582213,0.0017973665174243,0.36950011058476,157.86685186187,0.07771988328781,0.21499823537999,0.49519630061956,0.36977711274922,0.0029887213542965,0,0
44.5,0.069977986495908,0.078480580168684,-0.0085025936727758,0.0014943105590598,0.36954490568642,161.10439598469,0.072484827520943,0.22214835599356,0.49519633676842,0.36063874702155,0.0030458588231103,0,0
