time,DJint,DJint_2,Jint,dt,external_work,kinetic_energy,strain_energy,tip,tip_adv,tip_cum,top_react
48.300000000003,0.0030686236494915,-0.00072023096928664,0.0030705031170739,0.0125,0.071805207851265,0.00047083113938612,0.024013933343001,22.2875,0.0125,12.3,62.709163162581
48.312500000003,0.0030669118914215,0.00069990170690578,0.0030687171251366,0.0125,0.071842817582795,0.00047207621965947,0.024028792009314,22.3,0.0125,12.3125,62.693221801998
48.325000000003,0.0030652182876473,0.00092665215560099,0.0030669554855405,0.0125,0.07188040620442,0.00045776544317693,0.02405752831874,22.3125,0.0125,12.325,62.676859170305
48.337500000003,0.003063561359598,0.00093098491359426,0.0030652384886493,0.0125,0.071917974377107,0.00044118271997282,0.02409189508963,22.325,0.0125,12.3375,62.660424093138
48.350000000003,0.0030619502953404,0.0009198161033361,0.003063576723756,0.0125,0.071955522912221,0.00042682757470413,0.024126384084548,22.3375,0.0125,12.35,62.644102981739
48.362500000003,0.0030603839495461,0.00090876608095221,0.0030619698813201,0.0125,0.071993052580498,0.00041653177779672,0.024159423543286,22.35,0.0125,12.3625,62.627893868683
48.375000000003,0.0030588539704677,0.00087715097825349,0.0030604097764751,0.0125,0.072030563968868,0.00040831077914165,0.024193642886031,22.3625,0.0125,12.375,62.611652436034
48.387500000003,0.003057350848741,0.00084052875413241,0.0030588864061665,0.0125,0.072068057438647,0.00039886071104514,0.024231445881014,22.375,0.0125,12.3875,62.595191864682
48.400000000003,0.0030558705579867,0.00082001272599359,0.0030573947016899,0.0125,0.07210553320022,0.00038775301146873,0.024271564970176,22.3875,0.0125,12.4,62.578398456854
48.412500000003,0.0030544192010789,-0.0018144124081465,0.0030559393604298,0.0125,0.072142991474996,0.00040618073886193,0.024064740970151,22.4,0.0125,12.4125,62.561318795346
48.425000000003,0.0030530138063985,-0.0007018759275449,0.0030545358582091,0.0125,0.07218043268148,0.00045941529398033,0.024007553153151,22.4125,0.0125,12.425,62.544184335132
48.437500000003,0.0030516788853092,0.00071988349166792,0.0030532072088084,0.0125,0.072217857572193,0.00046067687893692,0.024021983216987,22.425,0.0125,12.4375,62.527363001055
48.450000000003,0.0030504400040728,0.00094661574467846,0.0030519776876356,0.0125,0.072255267266774,0.00044659143688706,0.024050252449676,22.4375,0.0125,12.45,62.511255954623
