time,DJint,DJint_2,DJint_box,DJint_box_2,Jint,Jint_box,bot_react,external_work,fracture_energy,kinetic_energy,strain_energy,top_react
29.5,0.00021204777632154,-9.0077320426536e-05,5.1237067889378e-05,-1.6157116976551e-05,0.00027269560663998,5.1805427082459e-05,80.393567673575,0.10757510231165,0.031188182396216,0.00092267091565572,0.057055032825897,-80.393567673575
30,0.00012495171743975,3.885845084656e-08,5.5579773075553e-05,-1.6822654551927e-05,0.00018530549900602,5.6285797654601e-05,80.848389653402,0.11140565263301,0.0311900142414,0.00095466939400105,0.060824755490411,-80.848389653402
30.5,5.5544216059845e-05,7.6606148956034e-05,5.7984352315161e-05,-1.5444490529062e-05,0.00011249969043238,5.9101246754719e-05,81.875139953043,0.11537586946255,0.031192099053293,0.00092846454366625,0.064781958539709,-81.875139953043
31,2.5009380551346e-05,0.00011681893314317,5.8603787708352e-05,-1.2496247773667e-05,7.6360790772933e-05,6.0245346869572e-05,83.809659013788,0.11950741977313,0.031194286417921,0.0008686399985111,0.068913410179405,-83.809659013788
31.5,4.1351767030397e-05,0.00011029400053998,5.8131618612027e-05,-8.8191843924443e-06,8.6416387500195e-05,6.0202240616522e-05,86.707308806131,0.12382684886199,0.031196423764542,0.00080661399838836,0.07321413827825,-86.707308806131
32,9.7546378992342e-05,6.1705911926209e-05,5.7600905618172e-05,-5.3789338899881e-06,0.00013717378310307,5.9887820128518e-05,90.349890302698,0.12835765204959,0.031198418628872,0.00076386291347453,0.077692326190959,-90.349890302698
32.5,0.00017449503282089,-1.1384733220656e-05,5.804108866274e-05,-2.9798137638392e-06,0.0002105829484957,6.0361577258429e-05,94.332982237126,0.13311365568685,0.031200276966954,0.0007495591251843,0.082359489516525,-94.332982237126
33,0.00024767913713629,-8.468498871386e-05,6.0152167024237e-05,-2.0316018792943e-06,0.00028248975612885,6.2449167645232e-05,98.202039611257,0.1380957369482,0.031202101964722,0.00076694927794018,0.087218842902501,-98.202039611257
33.5,0.00029513509350311,-0.0001351609358615,6.4079595215663e-05,-2.4464724803353e-06,0.00033066445809648,6.6425536434697e-05,101.59197536699,0.14329274472648,0.031204060089759,0.00081646951936805,0.092264315416777,-101.59197536699
34,0.00030415532009315,-0.0001481609676371,6.9415980533303e-05,-3.6866831507462e-06,0.00034167790859746,7.1956215498163e-05,104.32715817261,0.14868607212248,0.031206331616817,0.00089186127596564,0.097489429911199,-104.32715817261
34.5,0.00027464137270819,-0.0001214492384591,7.539510452242e-05,-4.976827622323e-06,0.00031447752320432,7.8284758459214e-05,106.45520964837,0.15425619107315,0.031209057547185,0.00097634404055966,0.10289519605124,-106.45520964837
35,0.00021826634972213,-6.5012021851921e-05,8.1166159212109e-05,-5.5294736087784e-06,0.00025980649341774,8.452781831818e-05,108.21132732554,0.15998896784271,0.031212297840757,0.0010467372051522,0.10848907460998,-108.21132732554
35.5,0.00015405843570069,2.7911357069473e-06,8.6066988463014e-05,-4.8727505471421e-06,0.00019604011248868,8.9959028522919e-05,109.93117286188,0.16587983018035,0.031216009175754,0.0010846113131505,0.11427764283362,-109.93117286188
36,0.00010206246569073,6.1442927409617e-05,8.9812039287735e-05,-2.951528375992e-06,0.00014300794818384,9.418962155205e-05,111.94326475538,0.17193468292075,0.03122005850887,0.001085768316476,0.12026154513432,-111.94326475538
36.5,7.7181838839034e-05,9.4629826407171e-05,9.2558718118364e-05,-1.2278134377185e-07,0.00011583715466323,9.7239627015852e-05,114.47406132253,0.17816754709441,0.03122425438127,0.0010607682965511,0.12643734906262,-114.47406132253
37,8.5053217805113e-05,9.4871983570648e-05,9.4842770856562e-05,2.9865929559758e-06,0.00012069052895172,9.9520083012748e-05,117.59170935006,0.18459588332716,0.03122841434834,0.0010273674230021,0.13280298707786,-117.59170935006
37.5,0.00012102185456341,6.5162448972125e-05,9.7388934557104e-05,5.6987869504862e-06,0.00015355301745688,0.00010171637750418,121.20095275195,0.19123517972448,0.031232419050763,0.0010017505389313,0.1393603869014,-121.20095275195
38,0.00017229405525329,1.7349068638981e-05,0.00010087426660296,7.5118325611545e-06,0.00020221586439967,0.00010459238144313,125.08603889537,0.19809449068876,0.031236237763372,0.00099415102307438,0.14611307042164,-125.08603889537
38.5,0.00022234087340649,-3.2044104391704e-05,0.00010568402197445,8.2460937693739e-06,0.00025055186462194,0.00010871138189876,128.98492530416,0.20517421144066,0.031239947408149,0.001008828549774,0.15306217159164,-128.98492530416
39,0.00025616299666026,-6.7149249912896e-05,0.00011182290822624,8.054248850301e-06,0.0002836899076704,0.00011425616011053,132.67033135548,0.21246661292538,0.031243715765682,0.0010449391186672,0.1602053856413,-132.67033135548
39.5,0.00026472880028245,-7.7524629378824e-05,0.00011894763976587,7.3342694642081e-06,0.00029242239299289,0.00012098280438947,136.01316839732,0.21995879127204,0.031247859309151,0.0010963288464143,0.16753959837857,-136.01316839732
